Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Time(seconds),socket_count,Label
195,0,TCP,104.18.1.181,443,51235,0,38,0,19,,,N
198,0,TCP,104.18.1.181,443,51235,1,0,0,19,,,N
206,10,TCP,23.53.240.56,80,51218,0,0,0,4,,,N
207,10,TCP,23.53.240.56,80,51212,0,0,0,3,,,N
209,25,TCP,163.70.143.60,443,51007,70,0,0,6,,,N
210,0,TCP,163.70.143.60,443,51007,0,72,0,6,,,N
214,30,TCP,104.18.1.181,443,50884,35,0,0,5,,,N
217,,ARP,,,,,60,0,,,,N
218,,ARP,,,,,42,0,,,,N
221,4,TCP,23.53.240.56,80,51218,1,0,0,4,,,N
223,4,TCP,23.53.240.56,80,51212,1,0,0,3,,,N
227,29,TCP,35.186.224.39,443,51064,43,0,0,9,,,N
228,0,TCP,35.186.224.39,443,51064,0,40,0,9,,,N
230,16,UDP,192.168.77.106,,,,41,0,,,,N
230,,DNS,192.168.77.106,,,,41,0,,,,N
231,0,UDP,192.168.77.1,,,,153,0,,,,N
231,,DNS,192.168.77.1,,,,153,0,,,,N
232,0,UDP,192.168.77.106,,,,41,0,,,,N
232,,DNS,192.168.77.106,,,,41,0,,,,N
234,0,UDP,192.168.77.1,,,,94,0,,,,N
234,,DNS,192.168.77.1,,,,94,0,,,,N
238,0,TCP,23.109.170.137,443,51236,855,0,0,21,,,N
239,0,TCP,23.109.170.137,443,51236,0,176,0,21,,,N
242,0,TCP,23.109.170.137,443,51236,592,0,0,21,,,N
243,0,TCP,23.109.170.137,443,51236,0,1440,0,21,,,N
244,0,TCP,23.109.170.137,443,51236,0,229,0,21,,,N
249,10,TCP,23.109.170.137,443,51236,0,0,0,21,,,N
251,59,TCP,157.90.91.72,443,49949,39,39,0,2,,,N
253,1,TCP,157.90.91.72,443,49949,0,33,0,2,,,N
255,0,TCP,157.90.91.72,443,49949,37,48,0,2,,,N
258,27,TCP,163.70.143.60,443,51007,70,72,0,6,,,N
261,30,TCP,104.18.1.181,443,50884,35,0,0,5,,,N
263,10,TCP,23.109.170.137,443,51236,0,0,0,21,,,N
266,0,TCP,23.109.170.137,443,51236,53,0,0,21,,,N
267,0,TCP,23.109.170.137,443,51236,0,0,0,21,,,N
269,0,TCP,23.109.170.137,443,51236,1,0,0,21,,,N
271,29,TCP,35.186.224.39,443,51064,43,0,0,9,,,N
272,0,TCP,35.186.224.39,443,51064,0,40,0,9,,,N
274,,ARP,,,,,60,0,,,,N
275,,ARP,,,,,42,0,,,,N
281,15,TCP,163.70.143.60,443,51007,70,0,0,6,,,N
282,0,TCP,163.70.143.60,443,51007,0,72,0,6,,,N
284,0,UDP,192.168.77.104,,,,68,0,,,,N
285,0,UDP,,,,,68,0,,,,N
286,0,UDP,192.168.77.104,,,,78,0,,,,N
287,0,UDP,192.168.77.104,,,,48,0,,,,N
288,0,UDP,,,,,48,0,,,,N
289,0,UDP,192.168.77.104,,,,341,0,,,,N
290,0,UDP,,,,,353,0,,,,N
291,5,TCP,163.70.143.60,443,51007,0,226,0,6,,,N
294,1,TCP,163.70.143.60,443,51007,74,0,0,6,,,N
298,42,UDP,192.168.77.106,,,,44,0,,,,N
298,,DNS,192.168.77.106,,,,44,0,,,,N
301,0,UDP,192.168.77.106,,,,79,0,,,,N
301,,DNS,192.168.77.106,,,,79,0,,,,N
304,0,UDP,192.168.77.1,,,,199,0,,,,N
304,,DNS,192.168.77.1,,,,199,0,,,,N
305,0,UDP,192.168.77.106,,,,79,0,,,,N
305,,DNS,192.168.77.106,,,,79,0,,,,N
