Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Packet Number,Time(seconds),socket_count
571,0,TCP,192.168.136.132,55728,443,47903,0,0,11,238,61,2
572,0,TCP,34.149.100.209,443,55728,0,1412,0,11,239,61,2
573,0,TCP,34.149.100.209,443,55728,0,1412,0,11,240,61,2
574,0,TCP,34.149.100.209,443,55728,0,1412,0,11,241,61,2
575,0,TCP,192.168.136.132,55728,443,50727,0,0,11,242,61,2
576,0,TCP,34.149.100.209,443,55728,0,1412,0,11,243,61,2
577,0,TCP,192.168.136.132,55728,443,53551,0,0,11,244,61,2
578,0,TCP,34.149.100.209,443,55728,0,1412,0,11,245,61,2
579,0,TCP,34.149.100.209,443,55728,0,1412,0,11,246,61,2
580,0,TCP,192.168.136.132,55728,443,56375,0,0,11,247,61,2
581,0,TCP,34.149.100.209,443,55728,0,1412,0,11,248,61,2
582,0,TCP,34.149.100.209,443,55728,0,1412,0,11,249,61,2
583,0,TCP,34.149.100.209,443,55728,0,1412,0,11,250,61,2
584,0,TCP,192.168.136.132,55728,443,59199,0,0,11,251,61,2
585,0,TCP,34.149.100.209,443,55728,0,1412,0,11,252,61,2
586,0,TCP,34.149.100.209,443,55728,0,1412,0,11,253,61,2
587,0,TCP,192.168.136.132,55728,443,62023,0,0,11,254,61,2
588,0,TCP,34.149.100.209,443,55728,0,1412,0,11,255,61,2
589,0,TCP,192.168.136.132,55728,443,64847,0,0,11,256,61,2
590,0,TCP,34.149.100.209,443,55728,0,1412,0,11,257,61,2
591,0,TCP,34.149.100.209,443,55728,0,1412,0,11,258,61,2
592,0,TCP,34.149.100.209,443,55728,0,1412,0,11,259,61,2
593,0,TCP,192.168.136.132,55728,443,67671,0,0,11,260,61,2
594,0,TCP,34.149.100.209,443,55728,0,1412,0,11,261,61,2
595,0,TCP,34.149.100.209,443,55728,0,1412,0,11,262,61,2
596,0,TCP,192.168.136.132,55728,443,70495,0,0,11,263,61,2
597,0,TCP,34.149.100.209,443,55728,0,166,0,11,264,61,2
598,0,TCP,192.168.136.132,55728,443,72073,0,0,11,265,61,2
599,0,TCP,192.168.136.132,55728,443,0,46,0,11,266,61,2
600,0,TCP,34.149.100.209,443,55728,0,0,0,11,267,61,2
604,0,TCP,34.160.144.191,443,52496,1,0,0,12,268,61,2
605,0,TCP,192.168.136.132,52496,443,0,0,0,12,269,666,3
606,0,TCP,192.168.136.132,52496,443,0,517,0,12,270,666,3
607,0,TCP,34.160.144.191,443,52496,517,0,0,12,271,666,3
608,0,TCP,34.160.144.191,443,52496,0,156,0,12,273,666,3
609,0,TCP,192.168.136.132,52496,443,0,0,0,12,274,666,3
610,0,TCP,192.168.136.132,52496,443,0,51,0,12,275,666,3
611,0,TCP,34.160.144.191,443,52496,412,0,0,12,276,666,3
612,0,TCP,192.168.136.132,52496,443,0,177,0,12,277,666,3
613,0,TCP,34.160.144.191,443,52496,589,0,0,12,278,666,3
614,0,TCP,192.168.136.132,52496,443,0,287,0,12,279,666,3
615,0,TCP,34.160.144.191,443,52496,876,0,0,12,280,666,3
616,0,TCP,34.160.144.191,443,52496,0,69,0,12,281,666,3
617,0,TCP,192.168.136.132,52496,443,0,38,0,12,282,666,3
618,0,TCP,34.160.144.191,443,52496,845,0,0,12,283,666,3
619,0,TCP,34.160.144.191,443,52496,0,38,0,12,284,666,3
620,0,TCP,34.160.144.191,443,52496,0,145,0,12,285,666,3
621,0,TCP,192.168.136.132,52496,443,0,0,0,12,286,666,3
