Packet Number,Time(seconds),socket_count
1036,1948,18
1037,1948,18
1042,1948,18
1043,1948,18
1052,1948,18
1053,1948,18
1055,1948,18
1064,1948,19
1068,1948,20
1116,1949,21
1169,1949,21
1170,1949,21
1171,1949,21
1172,1949,21
1176,1949,22
1180,1949,23
1266,1953,23
1267,1953,23
1268,1953,23
1269,1953,23
1272,1955,24
1281,1955,24
1282,1955,24
1283,1955,24
1284,1955,24
1286,1955,24
1287,1955,24
1290,1956,25
1295,1956,26
1309,1957,26
1311,1958,26
1323,1961,26
1324,1961,26
1325,1961,26
1326,1961,26
1327,1961,26
1330,1961,26
1331,1961,26
1333,1961,27
1336,1961,27
1337,1961,27
1338,1961,27
1340,1961,28
1343,1961,28
1344,1961,28
1345,1961,28
1346,1961,28
1347,1961,28
1348,1961,28
1349,1961,28
1358,1961,28
1367,1961,28
1371,1961,28
1372,1961,28
1374,1961,29
1378,1961,30
1382,1961,31
1385,1961,31
1388,1961,31
1389,1961,31
1390,1961,31
1403,1961,31
1404,1961,31
1405,1961,31
1406,1961,31
1407,1961,31
1412,1962,31
1413,1962,31
1414,1962,31
1415,1962,31
1418,1962,31
1423,1962,31
1424,1962,31
1425,1962,31
1426,1962,31
1427,1962,31
1428,1962,31
1429,1962,31
1430,1962,31
1431,1962,31
1432,1962,31
1433,1962,31
1434,1962,31
1435,1962,31
1436,1962,31
1437,1962,31
1438,1962,31
1439,1962,31
1440,1962,31
1441,1962,31
1442,1962,31
1443,1962,31
1444,1962,31
1445,1962,31
1446,1962,31
1449,1962,31
1450,1962,31
1451,1962,32
1453,1962,32
1454,1962,32
1457,1962,32
1458,1962,32
1459,1962,32
1460,1962,32
1461,1962,32
1462,1962,32
1463,1962,32
1464,1962,32
1465,1962,32
1466,1962,32
1467,1962,32
1468,1962,32
1469,1962,32
1470,1962,32
1471,1962,32
1472,1962,32
1473,1962,32
1474,1962,32
1475,1962,32
1476,1962,32
1477,1962,32
1478,1962,32
1479,1962,32
1480,1962,32
1481,1962,32
1482,1962,32
1483,1962,32
1484,1962,32
1485,1962,32
1486,1962,32
1487,1962,32
1488,1962,32
1489,1962,32
1490,1962,32
1491,1962,32
1492,1962,32
1495,1962,32
1496,1962,32
1497,1962,32
1498,1962,32
1499,1962,32
1500,1962,32
1501,1962,32
1502,1962,32
1503,1962,32
1504,1962,32
1505,1962,32
1506,1962,32
1507,1962,32
1508,1962,32
1509,1962,32
1510,1962,32
1511,1962,32
1512,1962,32
1513,1962,32
1514,1962,32
1515,1962,32
1516,1962,32
1517,1962,32
1518,1962,32
1519,1962,32
1520,1962,32
1521,1962,32
1522,1962,32
1523,1962,32
1524,1962,32
1525,1962,32
1526,1962,32
1527,1962,32
1528,1962,32
1529,1962,32
1530,1962,32
1531,1962,32
1532,1962,32
1533,1962,32
1534,1962,32
1535,1962,32
1536,1962,32
1537,1962,32
1538,1962,32
1539,1962,32
1540,1962,32
1541,1962,32
1542,1962,32
1543,1962,32
1545,1962,32
1546,1962,32
1547,1962,32
1548,1962,32
1549,1962,32
1550,1962,32
1553,1962,32
1554,1962,32
1555,1962,32
1556,1962,32
1557,1962,32
1558,1962,32
1559,1962,32
1560,1962,32
1561,1962,32
1562,1962,32
1563,1962,32
1564,1962,32
1565,1962,32
1566,1962,32
1567,1962,32
1568,1962,32
1570,1962,33
1573,1962,33
1574,1962,33
1575,1962,33
1576,1962,33
1577,1962,33
1578,1962,33
1579,1962,33
1580,1962,33
1581,1962,33
1582,1962,33
1583,1962,33
1584,1962,33
1585,1962,33
1586,1962,33
1587,1962,33
1588,1962,33
1589,1962,33
1590,1962,33
1591,1962,33
1592,1962,33
1593,1962,33
1594,1962,33
1595,1962,33
1596,1962,33
1597,1962,33
1598,1962,33
1599,1962,33
1600,1962,33
1601,1962,33
1602,1962,33
1603,1962,33
1604,1962,33
1605,1962,33
1606,1962,33
1607,1962,33
1608,1962,33
1609,1962,33
1610,1962,33
1611,1962,33
1612,1962,33
1613,1962,33
1614,1962,33
1615,1962,33
1616,1962,33
1617,1962,33
1618,1962,33
1619,1962,33
1620,1962,33
1621,1962,33
1622,1962,33
1623,1962,33
1624,1962,33
1625,1962,33
1626,1962,33
1627,1962,33
1628,1962,33
1629,1962,33
1630,1962,33
1631,1962,33
1632,1962,33
1633,1962,33
1634,1962,33
1635,1962,33
1636,1962,33
1637,1962,33
1638,1962,33
1639,1962,33
1640,1962,33
1641,1962,33
1642,1962,33
1643,1962,33
1644,1962,33
1645,1962,33
1646,1962,33
1647,1962,33
1648,1962,33
1649,1962,33
1650,1962,33
1651,1962,33
1652,1962,33
1653,1962,33
1654,1962,33
1655,1962,33
1656,1962,33
1657,1962,33
1658,1962,33
1659,1962,33
1670,1962,33
1671,1962,33
1672,1962,33
1675,1962,33
1676,1962,33
1677,1962,33
1680,1962,33
1681,1962,33
1682,1962,33
1683,1962,33
1684,1962,33
1685,1962,33
1686,1962,33
1687,1962,33
1688,1962,33
1689,1962,33
1690,1962,33
1691,1962,33
1692,1962,33
1693,1962,33
1694,1962,33
1695,1962,33
1696,1962,33
1697,1962,33
1698,1962,33
1699,1962,33
1700,1962,33
1701,1962,33
1702,1962,33
1703,1962,33
1704,1962,33
1705,1962,33
1706,1962,33
1707,1962,33
1708,1962,33
1709,1962,33
1710,1962,33
1711,1962,33
1712,1962,33
1713,1962,33
1714,1962,33
1715,1962,33
1716,1962,33
1717,1962,33
1720,1962,33
1722,1962,33
1723,1962,33
1724,1962,33
1725,1962,33
1726,1962,33
1727,1962,33
1728,1962,33
1729,1962,33
1730,1962,33
1731,1962,33
1732,1962,33
1733,1962,33
1734,1962,33
1735,1962,33
1736,1962,33
1737,1962,33
1738,1962,33
1739,1962,33
1740,1962,33
1741,1962,33
1742,1962,33
1743,1962,33
1744,1962,33
1745,1962,33
1746,1962,33
1747,1962,33
1748,1962,33
1749,1962,33
1750,1962,33
1751,1962,33
1752,1962,33
1753,1962,33
1754,1962,33
1755,1962,33
1756,1962,33
1757,1962,33
1758,1962,33
1759,1962,33
1760,1962,33
1761,1962,33
1762,1962,33
1763,1962,33
1764,1962,33
1765,1962,33
1766,1962,33
1767,1962,33
1768,1962,33
1769,1962,33
1770,1962,33
1771,1962,33
1772,1962,33
1773,1962,33
1774,1962,33
1775,1962,33
1776,1962,33
1777,1962,33
1778,1962,33
1779,1962,33
1780,1962,33
1781,1962,33
1782,1962,33
1783,1962,33
1784,1962,33
1785,1962,33
1786,1962,33
1787,1962,33
1788,1962,33
1789,1962,33
1790,1962,33
1791,1962,33
1792,1962,33
1793,1962,33
1794,1962,33
1795,1962,33
1796,1962,33
1797,1962,33
1798,1962,33
1799,1962,33
1800,1962,33
1801,1962,33
1802,1962,33
1803,1962,33
1804,1962,33
1805,1962,33
1806,1962,33
1807,1962,33
1808,1962,33
1811,1962,33
1812,1962,33
1813,1962,33
1814,1962,33
1815,1962,33
1816,1962,33
1817,1962,33
1818,1962,33
1819,1962,33
1820,1962,33
1821,1962,33
1823,1962,33
1824,1962,33
1825,1962,33
1826,1962,33
1827,1962,33
1828,1962,33
1829,1962,33
1830,1962,33
1831,1962,33
1832,1962,33
1833,1962,33
1834,1962,33
1835,1962,33
1836,1962,33
1837,1962,33
1838,1962,33
1839,1962,33
1840,1962,33
1841,1962,33
1842,1962,33
1843,1962,33
1844,1962,33
1845,1962,33
1846,1962,33
1847,1962,33
1848,1962,33
1849,1962,33
1850,1962,33
1851,1962,33
1852,1962,33
1853,1962,33
1854,1962,33
1855,1962,33
1856,1962,33
1857,1962,33
1858,1962,33
1859,1962,33
1860,1962,33
1861,1962,33
1862,1962,33
1863,1962,33
1864,1962,33
1865,1962,33
1866,1962,33
1867,1962,33
1868,1962,33
1869,1962,33
1870,1962,33
1871,1962,33
1872,1962,33
1873,1962,33
1874,1962,33
1875,1962,33
1876,1962,33
1878,1962,33
1879,1962,33
1880,1962,33
1881,1962,33
1882,1962,33
1883,1962,33
1884,1962,33
1885,1962,33
1886,1962,33
1887,1962,33
1888,1962,33
1889,1962,33
1890,1962,33
1891,1962,33
1892,1962,33
1893,1962,33
1894,1962,33
1895,1962,33
1896,1962,33
1897,1962,33
1898,1962,33
1899,1962,33
1900,1962,33
1901,1962,33
1902,1962,33
1903,1962,33
1904,1962,33
1905,1962,33
1906,1962,33
1907,1962,33
1908,1962,33
1909,1962,33
1910,1962,33
1911,1962,33
1912,1962,33
1913,1962,33
1914,1962,33
1915,1962,33
1916,1962,33
1917,1962,33
1918,1962,33
1919,1962,33
1920,1962,33
1921,1962,33
1922,1962,33
1923,1962,33
1924,1962,33
1925,1962,33
1926,1962,33
1927,1962,33
1928,1962,33
1929,1962,33
1930,1962,33
1931,1962,33
1932,1962,33
1933,1962,33
1934,1962,33
1935,1962,33
1936,1962,33
1937,1962,33
1938,1962,33
1939,1962,33
1940,1962,33
1941,1962,33
1942,1962,33
1943,1962,33
1944,1962,33
1945,1962,33
1946,1962,33
1947,1962,33
1948,1962,33
1949,1962,33
1950,1962,33
1951,1962,33
1952,1962,33
1953,1962,33
1954,1962,33
1955,1962,33
1956,1962,33
1957,1962,33
1958,1962,33
1959,1962,33
1960,1962,33
1961,1962,33
1962,1962,33
1963,1962,33
1964,1962,33
1965,1962,33
1966,1962,33
1967,1962,33
1968,1962,33
1969,1962,33
1970,1962,33
1971,1962,33
1972,1962,33
1973,1962,33
1974,1962,33
1975,1962,33
1976,1962,33
1977,1962,33
1978,1962,33
1979,1962,33
1980,1962,33
1981,1962,33
1982,1962,33
1983,1962,33
1984,1962,33
1985,1962,33
1986,1962,33
1987,1962,33
1988,1962,33
1989,1962,33
1990,1962,33
1991,1962,33
1992,1962,33
1993,1962,33
1994,1962,33
1995,1962,33
1996,1962,33
1997,1962,33
1998,1962,33
1999,1962,33
2000,1962,33
2001,1962,33
2002,1962,33
2003,1962,33
2004,1962,33
2005,1962,33
2006,1962,33
2007,1962,33
2008,1962,33
2009,1962,33
2010,1962,33
2011,1962,33
2012,1962,33
2013,1962,33
2014,1962,33
2015,1962,33
2016,1962,33
2017,1962,33
2018,1962,33
2019,1962,33
2020,1962,33
2021,1962,33
2022,1962,33
2023,1962,33
2024,1962,33
2025,1962,33
2026,1962,33
2027,1962,33
2028,1962,33
2029,1962,33
2030,1962,33
2031,1962,33
2032,1962,33
2033,1962,33
2034,1962,33
2035,1962,33
2036,1962,33
2037,1962,33
2038,1962,33
2039,1962,33
2040,1962,33
2041,1962,33
2042,1962,33
2043,1962,33
2044,1962,33
2045,1962,33
2046,1962,33
2047,1962,33
2048,1962,33
2049,1962,33
2050,1962,33
2051,1962,33
2052,1962,33
2053,1962,33
2054,1962,33
2055,1962,33
2056,1962,33
2057,1962,33
2058,1962,33
2059,1962,33
2060,1962,33
2061,1962,33
2062,1962,33
2063,1962,33
2064,1962,33
2065,1962,33
2066,1962,33
2067,1962,33
2068,1962,33
2069,1962,33
2070,1962,33
2071,1962,33
2072,1962,33
2073,1962,33
2074,1962,33
2075,1962,33
2076,1962,33
2077,1962,33
2078,1962,33
2079,1962,33
2080,1962,33
2081,1962,33
2082,1962,33
2083,1962,33
2084,1962,33
2085,1962,33
2086,1962,33
2087,1962,33
2088,1962,33
2089,1962,33
2090,1962,33
2091,1962,33
2092,1962,33
2093,1962,33
2094,1962,33
2095,1962,33
2096,1962,33
2097,1962,33
2098,1962,33
2099,1962,33
2100,1962,33
2101,1962,33
2102,1962,33
2103,1962,33
2104,1962,33
2105,1962,33
2106,1962,33
2107,1962,33
2108,1962,33
2109,1962,33
2110,1962,33
2111,1962,33
2112,1962,33
2113,1962,33
2114,1962,33
2115,1962,33
2116,1962,33
2117,1962,33
2118,1962,33
2119,1962,33
2120,1962,33
2121,1962,33
2122,1962,33
2123,1962,33
2124,1962,33
2125,1962,33
2126,1962,33
2127,1962,33
2128,1962,33
2129,1962,33
2130,1962,33
2131,1962,33
2132,1962,33
2133,1962,33
2134,1962,33
2135,1962,33
2136,1962,33
2137,1962,33
2138,1962,33
2139,1962,33
2140,1962,33
2141,1962,33
2142,1962,33
2143,1962,33
2144,1962,33
2145,1962,33
2146,1962,33
2147,1962,33
2148,1962,33
2149,1962,33
2150,1962,33
2151,1962,33
2152,1962,33
2153,1962,33
2154,1962,33
2155,1962,33
2156,1962,33
2157,1962,33
2158,1962,33
2159,1962,33
2160,1962,33
2161,1962,33
2162,1962,33
2163,1962,33
2164,1962,33
2165,1962,33
2166,1962,33
2167,1962,33
2168,1962,33
2169,1962,33
2170,1962,33
2171,1962,33
2172,1962,33
2173,1962,33
2174,1962,33
2175,1962,33
2176,1962,33
2177,1962,33
2178,1962,33
2179,1962,33
2180,1962,33
2181,1962,33
2182,1962,33
2183,1962,33
2184,1962,33
2185,1962,33
2186,1962,33
2187,1962,33
2188,1962,33
2189,1962,33
2190,1962,33
2191,1962,33
2192,1962,33
2193,1962,33
2194,1962,33
2195,1962,33
2196,1962,33
2197,1962,33
2198,1962,33
2199,1962,33
2200,1962,33
2201,1962,33
2202,1962,33
2203,1962,33
2204,1962,33
2205,1962,33
2206,1962,33
2207,1962,33
2208,1962,33
2209,1962,33
2210,1962,33
2211,1962,33
2212,1962,33
2213,1962,33
2214,1962,33
2215,1962,33
2216,1962,33
2217,1962,33
2218,1962,33
2219,1962,33
2220,1962,33
2221,1962,33
2222,1962,33
2223,1962,33
2224,1962,33
2225,1962,33
2226,1962,33
2227,1962,33
2228,1962,33
2229,1962,33
2230,1962,33
2231,1962,33
2232,1962,33
2233,1962,33
2234,1962,33
2235,1962,33
2236,1962,33
2237,1962,33
2238,1962,33
2239,1962,33
2240,1962,33
2241,1962,33
2242,1962,33
2243,1962,33
2244,1962,33
2245,1962,33
2246,1962,33
2247,1962,33
2248,1962,33
2249,1962,33
2250,1962,33
2251,1962,33
2252,1962,33
2253,1962,33
2254,1962,33
2255,1962,33
2256,1962,33
2257,1962,33
2258,1962,33
2259,1962,33
2260,1962,33
2261,1962,33
2262,1962,33
2263,1962,33
2264,1962,33
2265,1962,33
2266,1962,33
2267,1962,33
2268,1962,33
2269,1962,33
2270,1962,33
2271,1962,33
2272,1962,33
2273,1962,33
2274,1962,33
2275,1962,33
2276,1962,33
2277,1962,33
2278,1962,33
2279,1962,33
2280,1962,33
2281,1962,33
2282,1962,33
2283,1962,33
2284,1962,33
2285,1962,33
2286,1962,33
2287,1962,33
2288,1962,33
2289,1962,33
2290,1962,33
2291,1962,33
2292,1962,33
2293,1962,33
2294,1962,33
2295,1962,33
2296,1962,33
2297,1962,33
2299,1963,33
2300,1963,33
2301,1963,33
2302,1963,33
2303,1963,33
2304,1963,33
2305,1963,33
2306,1963,33
2307,1963,33
2308,1963,33
2309,1963,33
2310,1963,33
2311,1963,33
2312,1963,33
2313,1963,33
2314,1963,33
2315,1963,33
2317,1963,34
2320,1963,34
2321,1963,34
2322,1963,34
2323,1963,34
2324,1963,34
2325,1963,34
2326,1963,34
2335,1963,34
2336,1963,34
2337,1963,34
2338,1963,34
2339,1963,34
2340,1963,34
2341,1963,34
2342,1963,34
2343,1963,34
2344,1963,34
2345,1963,34
