Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Time(seconds),socket_count
501,0,TCP,204.79.197.222,443,51242,0,150,0,31,,
506,0,TCP,204.79.197.222,443,51242,51,0,0,31,,
507,0,TCP,204.79.197.222,443,51242,0,69,0,31,,
510,0,TCP,204.79.197.222,443,51242,1007,0,0,31,,
511,0,TCP,204.79.197.222,443,51242,0,231,0,31,,
512,0,TCP,204.79.197.222,443,51242,0,38,0,31,,
514,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
517,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
520,0,TCP,23.215.215.147,443,51237,921,0,0,24,,
523,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
526,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
527,0,TCP,23.215.215.147,443,51237,2880,0,0,24,,
534,0,TCP,23.215.215.147,443,51237,2880,0,0,24,,
535,0,TCP,23.215.215.147,443,51237,2880,0,0,24,,
536,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
537,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
538,0,TCP,23.215.215.147,443,51237,1957,0,0,24,,
539,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
540,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
541,0,TCP,23.215.215.147,443,51237,2880,0,0,24,,
542,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
543,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
544,0,TCP,23.215.215.147,443,51237,4320,0,0,24,,
545,0,TCP,23.215.215.147,443,51237,2880,0,0,24,,
546,0,TCP,23.215.215.147,443,51237,1957,0,0,24,,
547,0,TCP,20.42.65.90,443,51241,400,99,0,30,,
550,0,TCP,204.79.197.222,443,51242,38,0,0,31,,
551,0,TCP,23.215.215.147,443,51237,2880,0,0,24,,
552,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
553,0,TCP,23.215.215.147,443,51237,1440,0,0,24,,
554,0,TCP,23.215.215.147,443,51237,5760,0,0,24,,
555,0,TCP,23.215.215.147,443,51237,4320,0,0,24,,
556,0,TCP,23.215.215.147,443,51237,0,35,0,24,,
558,0,TCP,23.215.215.147,443,51237,0,35,0,24,,
560,0,TCP,23.215.215.147,443,51237,4228,0,0,24,,
561,0,TCP,23.215.215.147,443,51237,0,341,0,24,,
563,0,TCP,23.215.215.147,443,51237,0,31,0,24,,
565,0,TCP,20.42.65.90,443,51241,471,1440,0,30,,
567,0,TCP,20.42.65.90,443,51241,0,1440,0,30,,
569,0,TCP,20.42.65.90,443,51241,0,1440,0,30,,
571,0,TCP,20.42.65.90,443,51241,0,1440,0,30,,
573,0,TCP,20.42.65.90,443,51241,0,570,0,30,,
581,0,TCP,20.42.65.90,443,51241,74,103,0,30,,
582,0,TCP,20.42.65.90,443,51241,0,62,0,30,,
585,0,TCP,20.42.65.90,443,51241,1945,0,0,30,,
586,0,TCP,20.42.65.90,443,51241,696,0,0,30,,
587,0,TCP,20.42.65.90,443,51241,31,0,0,30,,
588,0,TCP,20.42.65.90,443,51241,31,314,0,30,,
598,0,TCP,23.48.244.72,443,51243,295,0,0,32,,
599,0,TCP,23.48.244.72,443,51243,0,1440,0,32,,
601,0,TCP,23.48.244.72,443,51243,0,1440,0,32,,
603,0,TCP,23.48.244.72,443,51243,0,1216,0,32,,
605,0,TCP,23.48.244.72,443,51243,0,1440,0,32,,
607,0,TCP,23.48.244.72,443,51243,0,451,0,32,,
612,0,TCP,23.48.244.72,443,51243,80,0,0,32,,
613,0,TCP,23.48.244.72,443,51243,0,287,0,32,,
615,0,TCP,23.48.244.72,443,51243,0,287,0,32,,
617,0,TCP,23.48.244.72,443,51243,80,0,0,32,,
618,0,TCP,23.48.244.72,443,51243,300,0,0,32,,
619,0,TCP,23.48.244.72,443,51243,0,61,0,32,,
620,0,TCP,23.48.244.72,443,51243,0,31,0,32,,
621,0,TCP,23.48.244.72,443,51243,0,209,0,32,,
622,0,TCP,23.48.244.72,443,51243,0,74,0,32,,
626,0,TCP,23.48.244.72,443,51243,31,0,0,32,,
627,0,TCP,23.48.244.72,443,51243,78,0,0,32,,
628,0,TCP,23.48.244.72,443,51243,0,209,0,32,,
629,0,TCP,23.48.244.72,443,51243,0,74,0,32,,
638,0,TCP,117.18.232.200,443,51244,301,0,0,33,,
639,0,TCP,117.18.232.200,443,51244,0,99,0,33,,
642,0,TCP,117.18.232.200,443,51244,340,1440,0,33,,
644,0,TCP,117.18.232.200,443,51244,0,1440,0,33,,
646,0,TCP,117.18.232.200,443,51244,0,1216,0,33,,
648,0,TCP,117.18.232.200,443,51244,0,1440,0,33,,
650,0,TCP,117.18.232.200,443,51244,0,1440,0,33,,
652,0,TCP,117.18.232.200,443,51244,0,417,0,33,,
658,0,TCP,117.18.232.200,443,51244,74,255,0,33,,
