Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,window_size,sql,stream
3927,0,TCP,192.168.136.131,80,53446,0,0,65024,0,19
4528,9,TCP,192.168.136.131,80,53446,0,0,0,0,19
135,0,TCP,192.168.136.132,53446,80,1,0,64256,0,19
136,0,TCP,192.168.136.132,53446,80,0,21,64256,0,19
140,0,TCP,192.168.136.132,53446,80,0,168,64256,0,19
2491,0,TCP,192.168.136.132,53446,80,0,11,64256,0,19
3206,15,TCP,192.168.136.132,53446,80,0,11,64256,0,19
3954,5,TCP,192.168.136.132,53446,80,482,0,64128,0,19
4257,0,TCP,192.168.136.132,53446,80,1,0,64128,0,19
4520,9,TCP,192.168.136.132,53446,80,0,11,64128,0,19
144,0,TCP,192.168.136.131,80,53456,21,0,65152,0,20
148,0,TCP,192.168.136.131,80,53456,168,0,65024,0,20
2500,0,TCP,192.168.136.131,80,53456,11,0,65024,0,20
3209,15,TCP,192.168.136.131,80,53456,11,0,65024,0,20
3970,5,TCP,192.168.136.131,80,53456,0,482,65024,0,20
3972,0,TCP,192.168.136.131,80,53456,0,0,65024,0,20
4529,9,TCP,192.168.136.131,80,53456,0,0,0,0,20
141,0,TCP,192.168.136.132,53456,80,1,0,64256,0,20
143,0,TCP,192.168.136.132,53456,80,0,21,64256,0,20
147,0,TCP,192.168.136.132,53456,80,0,168,64256,0,20
2492,0,TCP,192.168.136.132,53456,80,0,11,64256,0,20
3207,15,TCP,192.168.136.132,53456,80,0,11,64256,0,20
3976,5,TCP,192.168.136.132,53456,80,482,0,64128,0,20
4243,0,TCP,192.168.136.132,53456,80,1,0,64128,0,20
4521,9,TCP,192.168.136.132,53456,80,0,11,64128,0,20
152,0,TCP,192.168.136.131,80,53466,20,0,65152,0,21
155,0,TCP,192.168.136.131,80,53466,168,0,65024,0,21
2501,0,TCP,192.168.136.131,80,53466,11,0,65024,0,21
3212,15,TCP,192.168.136.131,80,53466,11,0,65024,0,21
3915,5,TCP,192.168.136.131,80,53466,0,482,65024,0,21
3916,0,TCP,192.168.136.131,80,53466,0,0,65024,0,21
4530,9,TCP,192.168.136.131,80,53466,0,0,0,0,21
149,0,TCP,192.168.136.132,53466,80,1,0,64256,0,21
150,0,TCP,192.168.136.132,53466,80,0,20,64256,0,21
154,0,TCP,192.168.136.132,53466,80,0,168,64256,0,21
2493,0,TCP,192.168.136.132,53466,80,0,11,64256,0,21
3210,15,TCP,192.168.136.132,53466,80,0,11,64256,0,21
3949,5,TCP,192.168.136.132,53466,80,482,0,64128,0,21
4263,0,TCP,192.168.136.132,53466,80,1,0,64128,0,21
4522,9,TCP,192.168.136.132,53466,80,0,11,64128,0,21
158,0,TCP,192.168.136.131,80,53470,19,0,65152,0,22
162,0,TCP,192.168.136.131,80,53470,168,0,65024,0,22
2502,0,TCP,192.168.136.131,80,53470,11,0,65024,0,22
3213,15,TCP,192.168.136.131,80,53470,11,0,65024,0,22
3902,5,TCP,192.168.136.131,80,53470,0,482,65024,0,22
3903,0,TCP,192.168.136.131,80,53470,0,0,65024,0,22
4531,9,TCP,192.168.136.131,80,53470,0,0,0,0,22
156,0,TCP,192.168.136.132,53470,80,1,0,64256,0,22
157,0,TCP,192.168.136.132,53470,80,0,19,64256,0,22
161,0,TCP,192.168.136.132,53470,80,0,168,64256,0,22
2494,0,TCP,192.168.136.132,53470,80,0,11,64256,0,22
3211,15,TCP,192.168.136.132,53470,80,0,11,64256,0,22
3909,5,TCP,192.168.136.132,53470,80,482,0,64128,0,22
4237,0,TCP,192.168.136.132,53470,80,1,0,64128,0,22
4523,9,TCP,192.168.136.132,53470,80,0,11,64128,0,22
165,0,TCP,192.168.136.131,80,53482,21,0,65152,0,23
169,0,TCP,192.168.136.131,80,53482,168,0,65024,0,23
2511,0,TCP,192.168.136.131,80,53482,11,0,65024,0,23
3215,15,TCP,192.168.136.131,80,53482,10,0,65024,0,23
3965,5,TCP,192.168.136.131,80,53482,0,482,65024,0,23
3969,0,TCP,192.168.136.131,80,53482,0,0,65024,0,23
4532,9,TCP,192.168.136.131,80,53482,0,0,0,0,23
163,0,TCP,192.168.136.132,53482,80,1,0,64256,0,23
164,0,TCP,192.168.136.132,53482,80,0,21,64256,0,23
168,0,TCP,192.168.136.132,53482,80,0,168,64256,0,23
2503,0,TCP,192.168.136.132,53482,80,0,11,64256,0,23
3214,15,TCP,192.168.136.132,53482,80,0,10,64256,0,23
