Packet Number,Time(seconds),Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,socket_count,sql,stream
549,1259,0,TCP,192.168.136.132,55728,443,29593,173,6,0,11
550,1259,0,TCP,34.149.100.209,443,55728,0,0,6,0,11
551,1259,0,TCP,34.149.100.209,443,55728,0,127,6,0,11
552,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
553,1259,0,TCP,192.168.136.132,55728,443,30959,0,6,0,11
554,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
555,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
556,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
557,1259,0,TCP,192.168.136.132,55728,443,33783,0,6,0,11
558,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
559,1259,0,TCP,192.168.136.132,55728,443,36607,0,6,0,11
560,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
561,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
562,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
563,1259,0,TCP,192.168.136.132,55728,443,39431,0,6,0,11
564,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
565,1259,0,TCP,192.168.136.132,55728,443,42255,0,6,0,11
566,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
567,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
568,1259,0,TCP,192.168.136.132,55728,443,45079,0,6,0,11
569,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
570,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
571,1259,0,TCP,192.168.136.132,55728,443,47903,0,6,0,11
572,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
573,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
574,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
575,1259,0,TCP,192.168.136.132,55728,443,50727,0,6,0,11
576,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
577,1259,0,TCP,192.168.136.132,55728,443,53551,0,6,0,11
578,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
579,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
580,1259,0,TCP,192.168.136.132,55728,443,56375,0,6,0,11
581,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
582,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
583,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
584,1259,0,TCP,192.168.136.132,55728,443,59199,0,6,0,11
585,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
586,1259,0,TCP,34.149.100.209,443,55728,0,1412,6,0,11
587,1259,0,TCP,192.168.136.132,55728,443,62023,0,6,0,11
