Layer,src_ip,,dst_port,sql
TCP,20.42.65.90,,51241,0
TCP,20.42.65.90,,51241,0
TCP,20.42.65.90,,51241,0
TCP,20.42.65.90,,51241,0
UDP,192.168.77.106,,,0
DNS,192.168.77.106,,,0
UDP,192.168.77.106,,,0
DNS,192.168.77.106,,,0
UDP,192.168.77.1,,,0
DNS,192.168.77.1,,,0
UDP,1.1.1.1,,,0
DNS,1.1.1.1,,,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
TCP,23.48.244.72,,51243,0
UDP,192.168.77.106,,,0
DNS,192.168.77.106,,,0
UDP,192.168.77.106,,,0
DNS,192.168.77.106,,,0
UDP,192.168.77.1,,,0
DNS,192.168.77.1,,,0
TCP,117.18.232.200,,51244,0
TCP,117.18.232.200,,51244,0
TCP,117.18.232.200,,51244,0
TCP,117.18.232.200,,51244,0
TCP,117.18.232.200,,51244,0
TCP,117.18.232.200,,51244,0
TCP,117.18.232.200,,51244,0
TCP,117.18.232.200,,51244,0
UDP,1.1.1.1,,,0
DNS,1.1.1.1,,,0
TCP,117.18.232.200,,51244,0
TCP,117.18.232.200,,51244,0
TCP,117.18.232.200,,51244,0
TCP,117.18.232.200,,51244,0
TCP,117.18.232.200,,51244,0
TCP,117.18.232.200,,51244,0
TCP,117.18.232.200,,51244,0
TCP,117.18.232.200,,51244,0
UDP,192.168.77.106,,,0
DNS,192.168.77.106,,,0
